Collar,Day,Hrsize,Hrsize_ha,sex
6293,2,112079.8,11.20798,male
6293,4,118235.2,11.82352,male
6293,6,114632.6,11.46326,male
6293,8,183453.4,18.34534,male
6293,10,210780.4,21.07804,male
6293,12,236619.6,23.66196,male
6293,14,242792.3,24.27923,male
6293,16,244348.4,24.43484,male
6293,18,252766.7,25.27667,male
6293,20,250022.9,25.00229,male
6293,22,247339.4,24.73394,male
6293,24,251736.3,25.17363,male
6293,26,250689.7,25.06897,male
6293,28,265968.7,26.59687,male
6293,30,288790.4,28.87904,male
6275,4,62956.4,6.29564,male
6275,6,73819.93,7.381993,male
6275,8,92102.59,9.210259,male
6275,10,103809.6,10.38096,male
6275,12,137327.4,13.73274,male
6597,4,76234.48,7.623448,male
6621,2,73370.82,7.337082,female
6621,4,115408.7,11.54087,female
6621,6,133675.5,13.36755,female
6621,8,190416.7,19.04167,female
6621,10,184223.2,18.42232,female
6621,12,192876.9,19.28769,female
6621,14,190935.1,19.09351,female
6621,16,186474,18.6474,female
6621,18,189819,18.9819,female
6621,20,224874.5,22.48745,female
6621,22,259610.8,25.96108,female
6631,2,73739.62,7.373962,female
6631,4,105180.4,10.51804,female
6631,6,104843.4,10.48434,female
6631,8,126434.2,12.64342,female
6646,2,303706.9,30.37069,female
6646,4,302708.9,30.27089,female
6646,6,262369.4,26.23694,female
6646,8,268952.5,26.89525,female
6646,10,247834.7,24.78347,female
6646,12,227100.5,22.71005,female
6646,14,213118.8,21.31188,female
6646,16,220997.3,22.09973,female
6646,18,215685,21.5685,female
6646,20,199727,19.9727,female
6646,22,270456.1,27.04561,female
6646,24,302224.7,30.22247,female
6646,26,362537.1,36.25371,female
6646,28,397903.3,39.79033,female
6646,30,388240.6,38.82406,female
6655,2,34536.26,3.453626,male
6655,4,64156.88,6.415688,male
6655,6,142791.4,14.27914,male
6655,8,127418.5,12.74185,male
6655,10,87932.12,8.793212,male
6603,4,44122.7,4.41227,female
6603,6,42109.71,4.210971,female
6603,8,45864.04,4.586404,female
6603,10,49561.54,4.956154,female
6603,12,64429.19,6.442919,female
6603,14,65542.25,6.554225,female
6603,16,67427.11,6.742711,female
6603,18,65390.5,6.53905,female
6603,20,65473.74,6.547374,female
6602,2,291909.2,29.19092,female
6602,4,483360.4,48.33604,female
6602,6,396692.2,39.66922,female
6602,8,355436.4,35.54364,female
6602,10,309564,30.9564,female
6602,12,281047.9,28.10479,female
6602,14,272199.1,27.21991,female
6602,16,256381.6,25.63816,female
6602,18,256068,25.6068,female
6602,20,257249.1,25.72491,female
6602,22,251233.9,25.12339,female
6602,24,244106.6,24.41066,female
6602,26,248436.4,24.84364,female
6602,28,259810.3,25.98103,female
6602,30,261685.9,26.16859,female
6620,2,54410.02,5.441002,female
6620,4,74370.75,7.437075,female
6620,6,74415.37,7.441537,female
6620,8,69791.08,6.979108,female
6620,10,69079.19,6.907919,female
6620,12,80243.25,8.024325,female
6620,14,98545.81,9.854581,female
6620,16,116796.5,11.67965,female
6620,18,116973.2,11.69732,female
6620,20,162186.7,16.21867,female
6620,22,149594.9,14.95949,female
6620,24,148902.4,14.89024,female
6620,26,139006.7,13.90067,female
6620,28,149035.1,14.90351,female
6620,30,155016.3,15.50163,female
6619,4,92912.78,9.291278,male
6619,6,109753,10.9753,male
6619,8,115691.6,11.56916,male
6619,10,115521,11.5521,male
6619,12,115778.4,11.57784,male
6619,14,115836.7,11.58367,male
6619,16,114053.4,11.40534,male
6619,18,111915.5,11.19155,male
6619,20,110086.3,11.00863,male
6619,22,109155.8,10.91558,male
6619,24,107405.3,10.74053,male
6619,26,108178.6,10.81786,male
6619,28,106136.8,10.61368,male
6619,30,105783.8,10.57838,male
